date,target_type,target,horizon,direction,info_type,title,source_url,publisher,strength,confidence,source_weight,event_tag
2025-01-15,market,MARKET,mid,bullish,news,稳增长与流动性宽松预期推动市场风险偏好修复,,sample_macro,3,0.72,0.85,regulatory_positive
2025-04-08,market,MARKET,short,bearish,news,工业品价格走弱与需求修复放缓引发盈利下修担忧,,sample_macro,3,0.72,0.85,guidance_negative
2025-09-24,market,MARKET,mid,bearish,news,风险资产波动抬升与信用偏谨慎限制市场扩张弹性,,sample_macro,3,0.7,0.85,regulatory_negative
2025-10-18,market,MARKET,short,bullish,news,政策稳增长预期回暖带动顺周期风格回补,,sample_macro,3,0.7,0.85,regulatory_positive
2026-01-06,market,MARKET,mid,bullish,news,央行2026年工作会议提出继续实施适度宽松货币政策,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2026010617203861687/index.html,人民银行,4,0.9,0.85,regulatory_positive
2026-02-11,market,MARKET,mid,bearish,news,国家统计局数据中PPI同比仍为负显示需求修复斜率仍待验证,https://www.stats.gov.cn/sj/sjjd/202602/t20260211_1962586.html,国家统计局,2,0.8,0.85,regulatory_negative
2026-03-16,market,MARKET,short,neutral,news,*ST金灵董事会大换血在即 新实控人汪建国团队即将入主,,新浪财经,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,001277突发！董事长被留置,,新浪财经,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,10万元南极梦碎：行李丢失、维权无门，谁为游客负责？,,同花顺,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,17家券商春季策略会密集举行，涨价、制造、低估值成牛市下半场主线,,财联社,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,18年坚守机台旁 用毫厘精度守护航空航天梦,,同花顺,2,0.62,0.85,
2026-03-16,market,MARKET,short,bullish,news,1~2月社零总额同比增长2.8%,,同花顺,3,0.74,0.85,earnings_positive
2026-03-16,market,MARKET,short,neutral,news,2025年12月单月确认超2.3亿元营收 实达集团回应上交所：不存在提前或跨期确认情况,,新浪财经,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,2025年下半年公募基金代销百强榜单公布：天风证券、国都证券退出百强,,中新经纬,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,2025年河南滑县花生“保险 + 期货”项目顺利结项,,同花顺,2,0.62,0.85,
2026-03-16,market,MARKET,short,bullish,news,2026 VOC 分析工具十大选型指南：以用户反馈撬动企业数智化增长,,同花顺,3,0.74,0.85,
2026-03-16,market,MARKET,short,neutral,news,2026 年 GEO 优化公司推荐榜 top5：从技术实力到效果落地的专业测评榜单,,同花顺,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,2026“进解优促”首场启幕！政府搭台链主唱戏 成都算力产业强势破圈,,同花顺,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,2026华为云INSPIRE创想者大会定档 内容规模体验全面升级,,同花顺,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,2026年中国经济起步有力，重大项目稳投资将持续发力,,同花顺,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,2026年跨境贸易便利化专项行动试点城市增至45个,,中证网,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,2026年跨境贸易便利化专项行动试点城市增至45个,,同花顺,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,2026年长沙市一类医疗器械生产企业监督检查动员会隆重举行,,同花顺,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,2026金石奖 | 中国人寿寿险：数联智通，简捷温暖——基于多维数据融合的数智理赔体系,,新浪财经,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,23万观众、92万客流 久事集团交出“文商旅体展”融合新答卷,,同花顺,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,2月份70城房价数据释放积极信号,,中证网,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,2月全国规模以上建材家居卖场销售额约869亿元,,同花顺,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,2月证券服务类App月活达1.7亿人,,同花顺,2,0.62,0.85,
2026-03-16,market,MARKET,short,neutral,news,3 15刚落幕，GE0服务还在电商平台叫卖！298元起就能“操控”大模型搜索结果？,,同花顺,2,0.62,0.85,
