date,target_type,target,horizon,direction,strength,confidence,source_weight,title,source_url
2026-01-05,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份董事会九届二十二次(通讯方式)会议决议公告,https://data.eastmoney.com/notices/detail/600160/AN202601041814691562.html
2026-01-06,stock,600160.SH,mid,bullish,3,0.74,1.0,巨化股份:巨化股份关于完成《公司章程》备案的公告,https://data.eastmoney.com/notices/detail/600160/AN202601051815390321.html
2026-01-06,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:浙江巨化股份有限公司章程(工商备案版),https://data.eastmoney.com/notices/detail/600160/AN202601051815390324.html
2026-01-22,stock,600160.SH,mid,bullish,5,0.95,1.0,巨化股份2025年度业绩预增且核心产品价格上行,
2026-01-22,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2025年1-12月主要经营数据公告,https://data.eastmoney.com/notices/detail/600160/AN202601211818210076.html
2026-01-22,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2025年前三季度权益分配实施公告,https://data.eastmoney.com/notices/detail/600160/AN202601211818210079.html
2026-01-22,stock,600160.SH,mid,bullish,4,0.82,1.0,巨化股份:巨化股份2025年度业绩预增公告,https://data.eastmoney.com/notices/detail/600160/AN202601211818210077.html
2026-01-22,stock,600160.SH,mid,bullish,3,0.74,1.0,巨化股份:巨化股份关于为控股子公司提供担保进展情况的公告,https://data.eastmoney.com/notices/detail/600160/AN202601211818210078.html
2026-01-22,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份董事会九届二十三次(通讯方式)会议决议公告,https://data.eastmoney.com/notices/detail/600160/AN202601211818210075.html
2026-02-13,stock,600160.SH,mid,bullish,3,0.74,1.0,巨化股份:巨化股份关于为控股子公司提供担保进展情况的公告,https://data.eastmoney.com/notices/detail/600160/AN202602121819898185.html
