date,target_type,target,horizon,direction,info_type,title,source_url,publisher,strength,confidence,source_weight,event_tag
2025-02-11,stock,603619.SH,mid,bullish,research,国金证券股份有限公司关于中曼石油天然气集团股份有限公司向特定对象发行股票限售股解禁上市流通的核查意见,https://data.eastmoney.com/notices/detail/603619/AN202502101642942486.html,国金证券,3,0.78,0.7,regulatory_positive
2025-02-19,stock,600160.SH,mid,bullish,research,巨化股份增资控股甘肃巨化暨实施高性能氟氯新材料一体化项目的可行性研究报告,https://data.eastmoney.com/notices/detail/600160/AN202502181643210789.html,公司披露,3,0.72,0.7,contract_win
2026-01-01,stock,603619.SH,mid,bullish,research,国金证券股份有限公司关于中曼石油天然气集团股份有限公司签署伊拉克MF区块研究服务协议暨关联交易的核查意见,https://data.eastmoney.com/notices/detail/603619/AN202512311812018091.html,国金证券,4,0.82,0.7,contract_win
2026-02-10,stock,603049.SH,mid,bearish,research,中信建投证券股份有限公司关于中策橡胶集团股份有限公司2025年度现场检查报告,https://data.eastmoney.com/notices/detail/603049/AN202602091819833724.html,中信建投,2,0.66,0.7,regulatory_negative
2026-02-23,stock,002812.SZ,mid,bullish,research,固态技术突破装车在即，太空领域打开想象空间－－固态电池深度系列四,,东吴证券,3,0.78,0.7,
2026-02-24,stock,002812.SZ,mid,bullish,research,恩捷股份点评报告：锂电池隔膜迎拐点，龙头业绩有望爆发,,浙商证券,3,0.78,0.7,
2026-02-25,stock,001330.SZ,mid,neutral,research,传媒互联网：IP系列#7内容、商品与体验：重审IP产业链生态模型,,中金,2,0.62,0.7,
2026-02-25,stock,601595.SH,mid,bullish,research,传媒互联网：IP系列#7内容、商品与体验：重审IP产业链生态模型,,中金,3,0.78,0.7,
2026-02-26,stock,603197.SH,mid,bullish,research,保隆科技：三季度利润逐步修复，TPMS与悬架系统件驱动成长,,天风证券,3,0.78,0.7,
2026-02-26,stock,603667.SH,mid,bullish,research,五洲新春跟踪报告：步入成长新阶段，高端装备与机器人共驱,,国泰海通,3,0.78,0.7,
2026-02-27,stock,002812.SZ,mid,bullish,research,周期拐点确立，节后回暖可期：锂电池产业链深度报告,,东莞证券,3,0.78,0.7,
2026-02-27,stock,002837.SZ,mid,bullish,research,通信行业：散热需求向互连系统延伸，连接器散热成为重要补充：AI集群互连散热专题报告,,东莞证券,3,0.78,0.7,
2026-02-27,stock,601595.SH,mid,bullish,research,电影专题系列——2026年春节档回顾与展望：2026年春节档票房51.66亿，看好AI应用推动的内容供给转型,,国信证券,3,0.78,0.7,
2026-03-02,stock,603103.SH,mid,bullish,research,横店影视2025年业绩点评：大力发展短剧等创新业务，向“以IP为核心的全链路运营模式”转型,,国海证券,3,0.78,0.7,
2026-03-03,stock,000559.SZ,mid,bullish,research,万向钱潮：轴承底盘稳且进，春潮带雨“万向”新,,中金,3,0.78,0.7,
2026-03-04,stock,000973.SZ,mid,bullish,research,佛塑科技：收购金力进军湿法隔膜，高端产品放量未来可期,,东吴证券,3,0.78,0.7,
2026-03-05,stock,002283.SZ,mid,bullish,research,汽车及零部件－重卡发展方向求索之六：燃气发电机组风起，AIDC用大缸径发动机“双开花”,,中金,3,0.78,0.7,
2026-03-05,stock,002837.SZ,mid,bullish,research,Shenzhen_Envicool_Technology：China_Forum_2026－Key_Takeaways：Solid_pipeline_into_2H26；GTC_2026_roadmaps_in_focus,,高盛集团（GoldmanSachs）,3,0.78,0.7,
2026-03-08,stock,002812.SZ,mid,neutral,research,周观点：AI缺电大行情持续，气价上涨催化户储机遇,,长江证券,2,0.62,0.7,
2026-03-09,stock,001309.SZ,mid,bullish,research,半导体3月投资策略：建议关注半导体生产链及周期复苏的模拟功率板块,,国信证券,3,0.78,0.7,
2026-03-10,stock,600391.SH,mid,bullish,research,航发科技：航发赛道长坡厚雪，零部件龙头迎风直上,,国泰海通,3,0.78,0.7,
2026-03-11,stock,002812.SZ,mid,bullish,research,恩捷股份公司首次覆盖报告：隔膜龙头周期复苏，硫化锂业务进展顺利,,甬兴证券,3,0.78,0.7,
2026-03-13,stock,603929.SH,mid,bullish,research,亚翔集成：新加坡市场利润率再超预期,,华泰证券,3,0.78,0.7,
2026-03-13,stock,603929.SH,mid,bullish,research,亚翔集成：毛利率改善驱动Q4业绩高增，海外CAPEX高景气延续,,国盛证券,3,0.78,0.7,
2026-03-15,stock,002837.SZ,mid,neutral,research,服务器液冷：消费电子公司新机遇,,长江证券,2,0.62,0.7,
2026-03-15,stock,603929.SH,mid,bullish,research,亚翔集成2025年报点评：2025年净利润同增40.3％超预期，受益于半导体资本开支持续增长,,国泰海通,3,0.78,0.7,
2026-03-15,stock,603929.SH,mid,bullish,research,亚翔集成：业绩高增、净利率环比继续提升，新签、在手订单高增,,广发证券,3,0.78,0.7,
2026-03-16,stock,603929.SH,mid,bullish,research,亚翔集成2025年报点评：25Q4业绩超预期，毛利率大幅提升,,兴业证券,3,0.78,0.7,
