date,target_type,target,horizon,direction,strength,confidence,source_weight,title,source_url
2026-01-06,market,MARKET,mid,bullish,4,0.9,1.0,央行2026年工作会议提出继续实施适度宽松货币政策,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2026010617203861687/index.html
2026-01-16,market,MARKET,mid,bullish,4,0.9,1.0,证监会系统工作会议强调稳市场稳信心并推动中长期资金入市,https://www.csrc.gov.cn/csrc/c106311/c7609372/content.shtml
2026-02-11,market,MARKET,short,bullish,2,0.9,1.0,国家统计局公布1月CPI同比0.2%且PPI环比继续回升,https://www.stats.gov.cn/sj/sjjd/202602/t20260211_1962586.html
2026-02-11,market,MARKET,mid,bearish,2,0.8,0.9,国家统计局数据中PPI同比仍为负显示需求修复斜率仍待验证,https://www.stats.gov.cn/sj/sjjd/202602/t20260211_1962586.html
2026-01-21,stock,002772.SZ,mid,bullish,4,0.9,1.0,众兴菌业公告拟注销回购股份并减少注册资本,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-01-21/b843a8b5-a6d9-4682-8784-8047b48f7ea8.PDF
2026-01-27,stock,603516.SH,mid,bearish,4,0.85,0.95,淳中科技业绩预告显示主营收入同比下滑且扣非亏损,https://paper.cnstock.com/html/2026-01/27/content_2174465.htm
2026-01-27,stock,603516.SH,mid,bullish,3,0.8,0.9,淳中科技业绩预告披露归母净利润同比大幅增长,https://paper.cnstock.com/html/2026-01/27/content_2174465.htm
2026-01-29,stock,603516.SH,short,bearish,2,0.9,0.9,淳中科技发布股票交易异常波动公告并提示风险,https://paper.cnstock.com/html/2026-01/29/content_2175423.htm
2026-01-22,stock,600160.SH,mid,bullish,5,0.95,1.0,巨化股份2025年度业绩预增且核心产品价格上行,https://static.cninfo.com.cn/finalpage/2026-01-22/1224943851.PDF
2026-01-30,stock,000630.SZ,mid,bullish,3,0.9,1.0,铜陵有色公告提及主要产品价格上涨对经营形成支撑,https://static.cninfo.com.cn/finalpage/2026-01-30/1224956479.PDF
2026-01-30,stock,000630.SZ,short,bearish,3,0.85,0.95,铜陵有色提示股价涨幅偏离较大及项目投产时间不确定风险,https://static.cninfo.com.cn/finalpage/2026-01-30/1224956479.PDF
2026-01-16,stock,603619.SH,mid,bearish,3,0.9,1.0,中曼石油披露5%以上股东权益变动触及1%和5%刻度,https://paper.cnstock.com/html/2026-01/16/content_2170580.htm
2026-01-30,stock,603619.SH,short,bearish,3,0.9,1.0,中曼石油股票交易异常波动公告提示短期波动风险,https://paper.cnstock.com/html/2026-01/30/content_2175924.htm
2026-01-30,stock,603619.SH,mid,bearish,4,0.9,1.0,中曼石油股东减持结果公告含超计划减持情形,https://paper.cnstock.com/html/2026-01/30/content_2175924.htm
2026-02-04,stock,603619.SH,mid,bearish,2,0.85,0.95,中曼石油1月对外担保进展公告显示担保余额占净资产比例较高,https://paper.cnstock.com/html/2026-02/05/content_2177588.htm
